ShipmentID,CustomerName,OriginPort,DestinationPort,Carrier,BookingDate,ETD,ETA,ATD,ATA,PlannedTransitDays,ActualTransitDays,DelayDays,DelayReason,ShipmentStatus,Priority
SHP1001,Gulf Imports,Ningbo,Jebel Ali,ONE,2024-06-12,2024-06-15,2024-06-30,2024-06-16,2024-06-30,15,14,0,None,On Time,High
SHP1002,Al Noor Trading,Shanghai,Jebel Ali,MSC,2024-06-22,2024-06-25,2024-07-10,2024-06-26,2024-07-14,15,18,3,Port Congestion,Delayed,Low
SHP1003,Blue Ocean LLC,Ningbo,Abu Dhabi,Hapag Lloyd,2024-06-03,2024-06-06,2024-06-20,2024-06-06,2024-06-23,14,17,3,Documentation Issue,Delayed,Medium
SHP1004,Desert Mart,Ningbo,Jebel Ali,Evergreen,2024-01-02,2024-01-05,2024-01-21,2024-01-06,2024-01-26,16,20,4,Customs Hold,Delayed,Medium
SHP1005,Arabian Supplies,Shenzhen,Abu Dhabi,Evergreen,2024-01-27,2024-01-30,2024-02-14,2024-01-30,2024-02-16,15,17,2,Customs Hold,Delayed,High
SHP1006,Desert Mart,Singapore,Abu Dhabi,Hapag Lloyd,2024-04-27,2024-04-30,2024-05-15,2024-04-30,2024-05-17,15,17,2,Documentation Issue,Delayed,High
SHP1007,Arabian Supplies,Shenzhen,Jebel Ali,Evergreen,2024-06-29,2024-07-02,2024-07-17,2024-07-02,2024-07-16,15,14,0,None,On Time,High
SHP1008,Gulf Imports,Shenzhen,Abu Dhabi,MSC,2024-01-26,2024-01-29,2024-02-18,2024-01-30,2024-02-20,20,21,1,Customs Hold,Delayed,Low
SHP1009,Falcon Electronics,Ningbo,Jebel Ali,COSCO,2024-03-09,2024-03-12,2024-03-27,2024-03-12,2024-03-30,15,18,3,Documentation Issue,Delayed,Medium
SHP1010,Gulf Imports,Shanghai,Abu Dhabi,COSCO,2024-03-10,2024-03-13,2024-03-30,2024-03-14,2024-04-04,17,21,4,Port Congestion,Delayed,Medium
SHP1011,Falcon Electronics,Qingdao,Abu Dhabi,ONE,2024-01-17,2024-01-20,2024-02-06,2024-01-21,2024-02-10,17,20,3,Weather,Delayed,Medium
SHP1012,Falcon Electronics,Busan,Abu Dhabi,ONE,2024-02-06,2024-02-09,2024-02-27,2024-02-09,2024-02-27,18,18,0,None,On Time,Low
SHP1013,Emirates Retail,Qingdao,Jebel Ali,Evergreen,2024-04-19,2024-04-22,2024-05-12,2024-04-22,2024-05-13,20,21,1,Weather,Delayed,High
SHP1014,Emirates Retail,Shanghai,Abu Dhabi,COSCO,2024-01-29,2024-02-01,2024-02-17,2024-02-01,2024-02-21,16,20,4,Vessel Rollover,Delayed,Low
SHP1015,Falcon Electronics,Busan,Abu Dhabi,Evergreen,2024-04-29,2024-05-02,2024-05-20,2024-05-02,2024-05-23,18,21,3,Port Congestion,Delayed,Low
SHP1016,Blue Ocean LLC,Shanghai,Abu Dhabi,Hapag Lloyd,2024-03-28,2024-03-31,2024-04-15,2024-04-01,2024-04-17,15,16,1,Weather,Delayed,High
SHP1017,Emirates Retail,Ningbo,Jebel Ali,CMA CGM,2024-05-09,2024-05-12,2024-05-27,2024-05-13,2024-06-02,15,20,5,Documentation Issue,Delayed,High
SHP1018,Al Noor Trading,Shanghai,Abu Dhabi,Evergreen,2024-05-18,2024-05-21,2024-06-04,2024-05-22,2024-06-08,14,17,3,Vessel Rollover,Delayed,Medium
SHP1019,Al Noor Trading,Singapore,Abu Dhabi,Evergreen,2024-03-02,2024-03-05,2024-03-19,2024-03-05,2024-03-19,14,14,0,None,On Time,High
SHP1020,Emirates Retail,Ningbo,Abu Dhabi,Hapag Lloyd,2024-05-16,2024-05-19,2024-06-04,2024-05-20,2024-06-05,16,16,0,None,On Time,Low
SHP1021,Blue Ocean LLC,Singapore,Abu Dhabi,COSCO,2024-04-18,2024-04-21,2024-05-08,2024-04-21,2024-05-11,17,20,3,Customs Hold,Delayed,Low
SHP1022,Al Noor Trading,Shenzhen,Jebel Ali,Hapag Lloyd,2024-04-25,2024-04-28,2024-05-13,2024-04-28,2024-05-13,15,15,0,None,On Time,Low
SHP1023,Falcon Electronics,Singapore,Jebel Ali,MSC,2024-02-28,2024-03-02,2024-03-19,2024-03-02,2024-03-18,17,16,0,None,On Time,High
SHP1024,Desert Mart,Singapore,Abu Dhabi,MSC,2024-01-09,2024-01-12,2024-01-31,2024-01-12,2024-01-30,19,18,0,None,On Time,Low
SHP1025,Arabian Supplies,Qingdao,Jebel Ali,Maersk,2024-02-03,2024-02-06,2024-02-27,2024-02-07,2024-02-28,21,21,0,None,On Time,High
SHP1026,Blue Ocean LLC,Singapore,Jebel Ali,ONE,2024-06-17,2024-06-20,2024-07-10,2024-06-21,2024-07-12,20,21,1,Vessel Rollover,Delayed,Low
SHP1027,Falcon Electronics,Shenzhen,Jebel Ali,MSC,2024-06-14,2024-06-17,2024-07-02,2024-06-18,2024-07-02,15,14,0,None,On Time,High
SHP1028,Gulf Imports,Shenzhen,Abu Dhabi,MSC,2024-02-18,2024-02-21,2024-03-13,2024-02-22,2024-03-14,21,21,0,None,On Time,High
SHP1029,Al Noor Trading,Ningbo,Jebel Ali,COSCO,2024-04-23,2024-04-26,2024-05-11,2024-04-26,2024-05-10,15,14,0,None,On Time,Medium
